benefit_metric,descriptor,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_q,spearman_r
delta_C1_fscore_2x,semantic_purity,25,0.07214142506643295,0.3266559412920575,-0.36579042193156314,0.20759798786035025,0.5016286500536713,-0.2610058064636723
delta_C1_gt_to_pred,semantic_purity,25,0.5625500464543625,0.8203402725837852,-0.12160619151591727,0.29064871336599385,0.5970081679950143,-0.21999999999999997
delta_C2_chamfer,semantic_purity,25,0.3921559069864165,0.685407218308456,-0.1789155341908785,0.22958524321981813,0.5157185759026457,-0.24923076923076923
delta_C2_equal_cardinality_chamfer,semantic_purity,25,0.38246787204421295,0.6812708970787543,-0.18254285510254908,0.07378412709009194,0.3266559412920575,-0.3638461538461538
delta_C2_fscore_2x,semantic_purity,25,0.07214142506643295,0.3266559412920575,-0.36579042193156314,0.20759798786035025,0.5016286500536713,-0.2610058064636723
delta_C2_gt_to_pred,semantic_purity,25,0.5625500464543625,0.8203402725837852,-0.12160619151591727,0.29064871336599385,0.5970081679950143,-0.21999999999999997
delta_C3_chamfer,semantic_purity,25,0.22510431578163842,0.5108087026551646,-0.2515672127206959,0.2703601898431141,0.5734151003184188,-0.22923076923076924
delta_C3_equal_cardinality_chamfer,semantic_purity,25,0.28938459445368575,0.5970081679950143,-0.2205630221661604,0.38513664752146737,0.6833552967696075,-0.1815384615384615
delta_C3_fscore_2x,semantic_purity,25,0.03938794352161585,0.26937660896888294,-0.41449956558581685,0.08459661017158739,0.35179398236567994,-0.3518091881565911
delta_C3_gt_to_pred,semantic_purity,25,0.1178016930786696,0.41005780186162855,-0.32090358333192676,0.07848252439256115,0.3441156838750758,-0.35846153846153844
delta_C1_chamfer,number_of_semantic_ids,25,0.7601530446352235,0.8953025573722733,0.06428389407247949,0.3564261496897481,0.6424123488479255,0.1925634341362774
delta_C1_equal_cardinality_chamfer,number_of_semantic_ids,25,0.7717501710499591,0.8953025573722733,0.061090708164607294,0.6423897014869616,0.8629362748292329,0.09764880027194596
delta_C1_fscore_2x,number_of_semantic_ids,25,0.08569798899273272,0.35179398236567994,0.350649774056815,0.025652002452253006,0.21661690959680316,0.44543265832084705
delta_C1_gt_to_pred,number_of_semantic_ids,25,0.7319553248675912,0.8948301022509961,-0.07210750578538014,0.5317617406119651,0.8091641584959817,0.13123998756549538
delta_C2_chamfer,number_of_semantic_ids,25,0.7601530446352235,0.8953025573722733,0.06428389407247949,0.3564261496897481,0.6424123488479255,0.1925634341362774
delta_C2_equal_cardinality_chamfer,number_of_semantic_ids,25,0.6649474609884888,0.8629362748292329,0.09110210441250238,0.17512723628160606,0.48392483224576244,0.280056759179941
delta_C2_fscore_2x,number_of_semantic_ids,25,0.08569798899273272,0.35179398236567994,0.350649774056815,0.025652002452253006,0.21661690959680316,0.44543265832084705
delta_C2_gt_to_pred,number_of_semantic_ids,25,0.7319553248675912,0.8948301022509961,-0.07210750578538014,0.5317617406119651,0.8091641584959817,0.13123998756549538
delta_C3_chamfer,number_of_semantic_ids,25,0.4750325879453201,0.7443809625534913,0.14971967032600536,0.21561231449675344,0.5016286500536713,0.256621047114674
delta_C3_equal_cardinality_chamfer,number_of_semantic_ids,25,0.3337970770950874,0.6319897503924933,0.20162628804431693,0.28043904252149254,0.5839278693598201,0.22459224062547573
delta_C3_fscore_2x,number_of_semantic_ids,25,0.04038686893897786,0.2708295917084398,0.4126082308347615,0.01362490349920204,0.14738155970367386,0.4866655275471514
delta_C3_gt_to_pred,number_of_semantic_ids,25,0.5632801617327067,0.8203402725837852,0.12138070620667853,0.10623569688843042,0.37954475368423357,0.3308341353213529
delta_C1_chamfer,graph_components_C0,25,0.052153553796333685,0.29727525663910204,0.39271234568712043,0.09665680981276148,0.3612746333985183,0.3396831102433787
delta_C1_equal_cardinality_chamfer,graph_components_C0,25,0.4170251893578686,0.68651078103678,0.169829049917017,0.21907150777476048,0.5061809993418404,0.254762332682534
delta_C1_fscore_2x,graph_components_C0,25,0.9554436622389099,0.9768661658765535,0.011777019919393056,0.787287904845067,0.8953025573722733,-0.056832861622539456
delta_C1_gt_to_pred,graph_components_C0,25,0.014003552883751918,0.14738155970367386,0.48497588407858194,0.12973964066521768,0.42922928142602396,0.31137618438976383
delta_C2_chamfer,graph_components_C0,25,0.052153553796333685,0.29727525663910204,0.39271234568712043,0.09665680981276148,0.3612746333985183,0.3396831102433787
delta_C2_equal_cardinality_chamfer,graph_components_C0,25,0.1425513303131541,0.4610170682467962,0.3018334858289051,0.17033691074352933,0.48392483224576244,0.28306925853614895
delta_C2_fscore_2x,graph_components_C0,25,0.9554436622389099,0.9768661658765535,0.011777019919393056,0.787287904845067,0.8953025573722733,-0.056832861622539456
delta_C2_gt_to_pred,graph_components_C0,25,0.014003552883751918,0.14738155970367386,0.48497588407858194,0.12973964066521768,0.42922928142602396,0.31137618438976383
delta_C3_chamfer,graph_components_C0,25,0.003595333413935372,0.11710514548246641,0.5600832783222286,0.09665680981276148,0.3612746333985183,0.3396831102433787
delta_C3_equal_cardinality_chamfer,graph_components_C0,25,0.16738609383359415,0.48392483224576244,0.284954514915607,0.12973964066521768,0.42922928142602396,0.31137618438976383
delta_C3_fscore_2x,graph_components_C0,25,0.9068314503868274,0.9568794073408381,-0.02466656591735594,0.8930715835029975,0.9568794073408381,-0.028328725568708534
delta_C3_gt_to_pred,graph_components_C0,25,0.00968182560617439,0.14738155970367386,0.5070612818019107,0.09665680981276148,0.3612746333985183,0.3396831102433787
delta_C1_chamfer,graph_components_C1,25,0.5993405450842777,0.8345837370410979,0.11039976858747906,0.9067557282289687,0.9568794073408381,0.024686699254283025
delta_C1_equal_cardinality_chamfer,graph_components_C1,25,0.8239468059340548,0.9048581824502134,0.04686947520348688,0.7891776027126743,0.8953025573722733,-0.05631653267383315
delta_C1_fscore_2x,graph_components_C1,25,0.4393797485831244,0.7145781990572686,0.16191290984161028,0.582825177573986,0.8279736064477712,0.11539211602412876
delta_C1_gt_to_pred,graph_components_C1,25,0.7569367684764675,0.8953025573722733,-0.06517189678415543,0.9387341616901819,0.9693323246544356,0.016200646385623234
