descriptor,benefit_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
number_of_semantic_ids,delta_C2_gt_to_pred,-0.07210750578538014,0.7319553248675912,0.13123998756549538,0.5317617406119651,25
number_of_semantic_ids,delta_C3_chamfer,0.14971967032600536,0.4750325879453201,0.256621047114674,0.21561231449675344,25
number_of_semantic_ids,delta_C3_equal_cardinality_chamfer,0.20162628804431693,0.3337970770950874,0.22459224062547573,0.28043904252149254,25
number_of_semantic_ids,delta_C3_fscore_2x,0.4126082308347615,0.04038686893897786,0.4866655275471514,0.01362490349920204,25
number_of_semantic_ids,delta_C3_gt_to_pred,0.12138070620667853,0.5632801617327067,0.3308341353213529,0.10623569688843042,25
graph_components_C0,delta_C1_chamfer,0.39271234568712043,0.052153553796333685,0.3396831102433787,0.09665680981276148,25
graph_components_C0,delta_C1_equal_cardinality_chamfer,0.169829049917017,0.4170251893578686,0.254762332682534,0.21907150777476048,25
graph_components_C0,delta_C1_fscore_2x,0.011777019919393056,0.9554436622389099,-0.056832861622539456,0.787287904845067,25
graph_components_C0,delta_C1_gt_to_pred,0.48497588407858194,0.014003552883751918,0.31137618438976383,0.12973964066521768,25
graph_components_C0,delta_C2_chamfer,0.39271234568712043,0.052153553796333685,0.3396831102433787,0.09665680981276148,25
graph_components_C0,delta_C2_equal_cardinality_chamfer,0.3018334858289051,0.1425513303131541,0.28306925853614895,0.17033691074352933,25
graph_components_C0,delta_C2_fscore_2x,0.011777019919393056,0.9554436622389099,-0.056832861622539456,0.787287904845067,25
graph_components_C0,delta_C2_gt_to_pred,0.48497588407858194,0.014003552883751918,0.31137618438976383,0.12973964066521768,25
graph_components_C0,delta_C3_chamfer,0.5600832783222286,0.003595333413935372,0.3396831102433787,0.09665680981276148,25
graph_components_C0,delta_C3_equal_cardinality_chamfer,0.284954514915607,0.16738609383359415,0.31137618438976383,0.12973964066521768,25
graph_components_C0,delta_C3_fscore_2x,-0.02466656591735594,0.9068314503868274,-0.028328725568708534,0.8930715835029975,25
graph_components_C0,delta_C3_gt_to_pred,0.5070612818019107,0.00968182560617439,0.3396831102433787,0.09665680981276148,25
graph_components_C1,delta_C1_chamfer,0.11039976858747906,0.5993405450842777,0.024686699254283025,0.9067557282289687,25
graph_components_C1,delta_C1_equal_cardinality_chamfer,0.04686947520348688,0.8239468059340548,-0.05631653267383315,0.7891776027126743,25
graph_components_C1,delta_C1_fscore_2x,0.16191290984161028,0.4393797485831244,0.11539211602412876,0.582825177573986,25
