scene,roi,known_case,method,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt_mean,gt_to_pred_mean,symmetric_chamfer,equal_cardinality_count,equal_cardinality_pred_to_gt,equal_cardinality_gt_to_pred,equal_cardinality_chamfer,normal_angular_error,appearance_rmse,boundary_seam_error,precision_0p5,recall_0p5,fscore_0p5,precision_1p0,recall_1p0,fscore_1p0,precision_2p0,recall_2p0,fscore_2p0,runtime_s
ramen,ramen_sample_006,False,C2,83,83,56,0.018343988334247576,0.02911823583572152,0.023731112084984546,56,0.017974284424737936,0.039814551059978075,0.028894417742358007,23.49494171142578,0.1921270257985774,0.4948373125557048,0.012048192771084338,0.017857142857142856,0.01438848920815196,0.14457831325301204,0.10714285714285714,0.12307692307643414,0.6144578313253012,0.30357142857142855,0.4063745019915892,3.7837088108062744
ramen,ramen_sample_006,False,C3,83,83,56,0.030138157893302236,0.019848145767400637,0.02499315183035144,56,0.028163745631637704,0.02064371922079661,0.024403732426217156,47.4532585144043,0.8140723262415591,0.7471044845873163,0.024096385542168676,0.03571428571428571,0.028776978416785056,0.12048192771084337,0.19642857142857142,0.14935505770489194,0.39759036144578314,0.5892857142857143,0.47482014388441096,4.039488315582275
ramen,ramen_sample_007,False,C0,92,92,56,0.06524431048853668,0.061272711330217944,0.06325851090937731,56,0.06561425803490742,0.061676922907294505,0.06364559047110097,52.18217849731445,0.31069852171224277,0.1992076254547099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9235117435455322
ramen,ramen_sample_007,False,C1,92,92,56,0.06974949850260859,0.054843601263642995,0.06229654988312579,56,0.06863610432684382,0.0571613006889713,0.06289870250790756,25.761808395385742,0.42923985937721887,0.4093974466666011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8426856994628906
ramen,ramen_sample_007,False,C2,92,92,56,0.06974949850260859,0.054843601263642995,0.06229654988312579,56,0.07302916664944271,0.061337398326253116,0.06718328248784791,25.761808395385742,0.4341133326366447,0.4175446308212987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.868074655532837
ramen,ramen_sample_007,False,C3,92,92,56,0.068054905541563,0.054425338426512884,0.06124012198403794,56,0.06589214817462215,0.05572867370788661,0.060810410941254375,25.927471160888672,0.42022040875681743,0.41726564542577277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9452788829803467
ramen,ramen_sample_008,False,C0,53,53,56,0.034297693570832934,0.08360692100817568,0.058952307289504305,53,0.0358131858768698,0.0850308600649142,0.060422022970892,65.14984893798828,1.244752795766919,0.9468283183840264,0.03773584905660377,0.03571428571428571,0.036697247705922385,0.05660377358490566,0.03571428571428571,0.04379562043748181,0.22641509433962265,0.08928571428571429,0.12806830309457834,3.831423759460449
ramen,ramen_sample_008,False,C1,53,53,56,0.09666180357090005,0.07206752995962411,0.08436466676526208,53,0.09700312704997317,0.07283592475487152,0.08491952590242235,56.868446350097656,1.3501710000643137,0.9837364495444065,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.017857142857142856,0.018348623852711386,3.862900733947754
ramen,ramen_sample_008,False,C2,53,53,56,0.09666180357090005,0.07206752995962411,0.08436466676526208,53,0.09666180357090005,0.0727823746555974,0.08472208911324873,56.868446350097656,1.3544928001841345,1.0251556299188074,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.017857142857142856,0.018348623852711386,3.8351616859436035
ramen,ramen_sample_008,False,C3,53,53,56,0.06534025622791574,0.0605300109722164,0.06293513360006607,53,0.06534025622791574,0.05843496294558398,0.06188760958674986,59.91910171508789,1.3897240608470438,1.2446059459759065,0.0,0.0,0.0,0.0,0.0,0.0,0.11320754716981132,0.14285714285714285,0.12631578947319091,3.929875373840332
